"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-07-06-03.45.00.000000,11265,0.0,0.0,0.0,24.3,23.54,21.3,0.0,0.0,0.0
2021-07-06-03.50.00.000000,11266,0.0,0.0,0.0,24.4,23.66,21.4,0.0,0.0,0.0
2021-07-06-03.55.00.000000,11267,0.0,0.0,0.0,24.5,23.79,21.6,0.0,0.0,0.0
2021-07-06-04.00.00.000000,11268,0.0,0.0,0.0,24.7,23.92,21.7,0.0,0.0,0.0
2021-07-06-04.05.00.000000,11269,0.0,0.0,0.0,24.8,24.01,21.8,0.0,0.0,0.0
2021-07-06-04.10.00.000000,11270,0.0,0.0,0.0,24.9,24.11,21.9,0.0,0.0,0.0
2021-07-06-04.15.00.000000,11271,0.0,0.0,0.0,24.9,24.2,22.0,0.0,0.0,0.0
2021-07-06-04.20.00.000000,11272,0.0,0.0,0.0,25.0,24.29,22.2,0.0,0.0,0.0
2021-07-06-04.25.00.000000,11273,0.0,0.0,0.0,25.1,24.38,22.3,0.0,0.0,0.0
2021-07-06-04.30.00.000000,11274,0.0,0.0,0.0,25.2,24.47,22.4,0.0,0.0,0.0
2021-07-06-04.35.00.000000,11275,0.0,0.0,0.0,25.3,24.56,22.5,0.0,0.0,0.0
2021-07-06-04.40.00.000000,11276,0.0,0.0,0.0,25.4,24.65,22.6,0.0,0.0,0.0
2021-07-06-04.45.00.000000,11277,0.0,0.0,0.0,25.5,24.74,22.7,0.0,0.0,0.0
2021-07-06-04.50.00.000000,11278,0.0,0.0,0.0,25.6,24.83,22.8,0.0,0.0,0.0
2021-07-06-04.55.00.000000,11279,0.0,0.0,0.0,25.7,24.92,22.9,0.0,0.0,0.0
2021-07-06-05.00.00.000000,11280,0.0,0.0,0.0,25.8,25.01,23.0,0.0,0.0,0.0
2021-07-06-05.05.00.000000,11281,0.0,0.0,0.0,26.0,25.26,23.3,0.0,0.0,0.0
2021-07-06-05.10.00.000000,11282,0.0,0.0,0.0,26.3,25.51,23.6,0.0,0.0,0.0
2021-07-06-05.15.00.000000,11283,0.0,0.0,0.0,26.6,25.76,23.8,0.0,0.0,0.0
2021-07-06-05.20.00.000000,11284,0.0,0.0,0.0,26.8,26.01,24.1,0.0,0.0,0.0
2021-07-06-05.25.00.000000,11285,0.0,0.0,0.0,27.1,26.25,24.4,0.0,0.0,0.0
2021-07-06-05.30.00.000000,11286,0.0,0.0,0.0,27.3,26.5,24.7,0.0,0.0,0.0
2021-07-06-05.35.00.000000,11287,0.0,0.0,0.0,27.6,26.75,25.0,0.0,0.0,0.0
2021-07-06-05.40.00.000000,11288,0.0,0.0,0.0,27.8,27.0,25.3,0.0,0.0,0.0
2021-07-06-05.45.00.000000,11289,0.0,0.0,0.0,28.1,27.25,25.5,0.0,0.0,0.0
2021-07-06-05.50.00.000000,11290,0.0,0.0,0.0,28.3,27.49,25.8,0.0,0.0,0.0
2021-07-06-05.55.00.000000,11291,0.0,0.0,0.0,28.6,27.74,26.1,0.0,0.0,0.0
2021-07-06-06.00.00.000000,11292,16.1,736.0,12.1,36.8,40.46,36.8,139.0,0.0,34.48
