"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-07-09-17.05.00.000000,12289,309.6,651.8,203.5171875,71.6,85.92,73.3,840.0,861.4,990.35
2021-07-09-17.10.00.000000,12290,311.1,649.2,203.5734375,71.5,85.86,73.6,826.0,847.4,990.61
2021-07-09-17.15.00.000000,12291,310.6,647.2,203.08125,71.8,86.12,73.7,811.7,833.6,988.2
2021-07-09-17.20.00.000000,12292,312.6,643.1,203.11875,72.0,86.35,73.7,796.3,819.5,988.37
2021-07-09-17.25.00.000000,12293,314.8,637.6,203.11875,72.0,86.44,73.7,780.8,804.9,988.35
2021-07-09-17.30.00.000000,12294,320.7,625.4,202.4953125,72.0,86.4,73.7,758.3,782.3,985.3
2021-07-09-17.35.00.000000,12295,324.7,617.9,201.2648438,72.0,86.37,73.7,735.9,760.4,979.3
2021-07-09-17.40.00.000000,12296,324.3,613.1,199.4882813,71.8,86.15,73.7,712.1,738.2,970.64
2021-07-09-17.45.00.000000,12297,316.0,616.7,195.9328125,71.5,85.85,73.7,680.4,708.3,953.33
2021-07-09-17.50.00.000000,12298,301.8,619.9,189.1195313,71.4,85.62,73.7,640.4,670.0,920.16
2021-07-09-17.55.00.000000,12299,283.7,624.0,179.2851563,71.3,85.54,73.7,595.7,626.6,872.3
2021-07-09-18.00.00.000000,12300,263.5,627.6,167.25,71.1,85.34,73.7,550.4,582.2,813.73
2021-07-09-18.05.00.000000,12301,242.1,631.2,154.78125,70.8,84.94,73.5,504.7,536.9,753.06
2021-07-09-18.10.00.000000,12302,220.6,636.2,141.8625,70.3,84.31,73.2,460.1,492.3,690.19
2021-07-09-18.15.00.000000,12303,199.2,641.0,129.009375,69.7,83.6,72.7,417.6,449.9,627.65
2021-07-09-18.20.00.000000,12304,180.3,644.2,117.309375,69.1,82.86,72.1,380.3,416.3,570.72
2021-07-09-18.25.00.000000,12305,165.5,646.3,107.9929688,68.5,82.22,71.7,351.3,395.4,525.39
2021-07-09-18.30.00.000000,12306,134.2,649.8,88.01367186,67.3,80.74,71.0,291.1,316.9,428.18
2021-07-09-18.35.00.000000,12307,108.2,652.5,70.98691404,66.3,79.51,70.6,240.2,262.2,345.34
2021-07-09-18.40.00.000000,12308,96.6,654.3,63.58066404,65.7,78.88,70.3,217.7,241.9,309.31
2021-07-09-18.45.00.000000,12309,78.3,654.6,51.60585938,64.9,77.89,69.7,181.1,202.3,251.05
2021-07-09-18.50.00.000000,12310,61.4,654.9,40.528125,64.0,76.75,69.0,146.8,164.9,197.15
2021-07-09-18.55.00.000000,12311,50.2,653.3,33.2203125,63.4,76.03,68.5,124.0,139.9,161.6
2021-07-09-19.00.00.000000,12312,42.8,653.2,28.29521485,62.9,75.43,68.2,108.4,122.7,137.64
2021-07-09-19.05.00.000000,12313,35.6,650.9,23.61591797,62.5,75.01,68.2,93.0,105.6,114.88
2021-07-09-19.10.00.000000,12314,0.0,0.0,0.0,47.8,46.38,47.6,0.0,0.0,0.0
2021-07-09-19.15.00.000000,12315,0.0,0.0,0.0,47.1,45.73,46.9,0.0,0.0,0.0
2021-07-09-19.20.00.000000,12316,0.0,0.0,0.0,46.5,45.09,46.1,0.0,0.0,0.0
2021-07-09-19.25.00.000000,12317,0.0,0.0,0.0,45.8,44.44,45.4,0.0,0.0,0.0
2021-07-09-19.30.00.000000,12318,0.0,0.0,0.0,45.2,43.8,44.7,0.0,0.0,0.0
2021-07-09-19.35.00.000000,12319,0.0,0.0,0.0,44.5,43.15,43.9,0.0,0.0,0.0
2021-07-09-19.40.00.000000,12320,0.0,0.0,0.0,43.8,42.5,43.2,0.0,0.0,0.0
