"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-05-28-01.05.00.000000,1,0.0,0.0,0.0,16.3,15.79,18.0,0.0,0.0,0.0
2021-05-28-01.10.00.000000,2,0.0,0.0,0.0,16.3,15.81,18.0,0.0,0.0,0.0
2021-05-28-01.15.00.000000,3,0.0,0.0,0.0,16.3,15.83,18.0,0.0,0.0,0.0
2021-05-28-01.20.00.000000,4,0.0,0.0,0.0,16.3,15.86,18.1,0.0,0.0,0.0
2021-05-28-01.25.00.000000,5,0.0,0.0,0.0,16.4,15.88,18.1,0.0,0.0,0.0
2021-05-28-01.30.00.000000,6,0.0,0.0,0.0,16.4,15.91,18.1,0.0,0.0,0.0
2021-05-28-01.35.00.000000,7,0.0,0.0,0.0,16.4,15.93,18.1,0.0,0.0,0.0
2021-05-28-01.40.00.000000,8,0.0,0.0,0.0,16.4,15.96,18.2,0.0,0.0,0.0
2021-05-28-01.45.00.000000,9,0.0,0.0,0.0,16.5,15.98,18.2,0.0,0.0,0.0
2021-05-28-01.50.00.000000,10,0.0,0.0,0.0,16.5,16.0,18.2,0.0,0.0,0.0
2021-05-28-01.55.00.000000,11,0.0,0.0,0.0,16.5,16.03,18.2,0.0,0.0,0.0
2021-05-28-02.00.00.000000,12,0.0,0.0,0.0,16.5,16.05,18.3,0.0,0.0,0.0
2021-05-28-02.05.00.000000,13,0.0,0.0,0.0,16.6,16.1,18.3,0.0,0.0,0.0
2021-05-28-02.10.00.000000,14,0.0,0.0,0.0,16.7,16.16,18.4,0.0,0.0,0.0
2021-05-28-02.15.00.000000,15,0.0,0.0,0.0,16.7,16.21,18.5,0.0,0.0,0.0
2021-05-28-02.20.00.000000,16,0.0,0.0,0.0,16.8,16.26,18.5,0.0,0.0,0.0
2021-05-28-02.25.00.000000,17,0.0,0.0,0.0,16.8,16.31,18.6,0.0,0.0,0.0
2021-05-28-02.30.00.000000,18,0.0,0.0,0.0,16.9,16.36,18.6,0.0,0.0,0.0
2021-05-28-02.35.00.000000,19,0.0,0.0,0.0,16.9,16.41,18.7,0.0,0.0,0.0
2021-05-28-02.40.00.000000,20,0.0,0.0,0.0,17.0,16.46,18.7,0.0,0.0,0.0
2021-05-28-02.45.00.000000,21,0.0,0.0,0.0,17.0,16.51,18.8,0.0,0.0,0.0
2021-05-28-02.50.00.000000,22,0.0,0.0,0.0,17.1,16.56,18.9,0.0,0.0,0.0
2021-05-28-02.55.00.000000,23,0.0,0.0,0.0,17.1,16.61,18.9,0.0,0.0,0.0
2021-05-28-03.00.00.000000,24,0.0,0.0,0.0,17.2,16.67,19.0,0.0,0.0,0.0
2021-05-28-03.05.00.000000,25,0.0,0.0,0.0,17.3,16.8,19.1,0.0,0.0,0.0
2021-05-28-03.10.00.000000,26,0.0,0.0,0.0,17.4,16.92,19.3,0.0,0.0,0.0
2021-05-28-03.15.00.000000,27,0.0,0.0,0.0,17.6,17.05,19.4,0.0,0.0,0.0
2021-05-28-03.20.00.000000,28,0.0,0.0,0.0,17.7,17.18,19.6,0.0,0.0,0.0
2021-05-28-03.25.00.000000,29,0.0,0.0,0.0,17.8,17.31,19.7,0.0,0.0,0.0
2021-05-28-03.30.00.000000,30,0.0,0.0,0.0,18.0,17.44,19.9,0.0,0.0,0.0
2021-05-28-03.35.00.000000,31,0.0,0.0,0.0,18.1,17.57,20.0,0.0,0.0,0.0
