"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-07-02-14.25.00.000000,10241,0.0,0.0,0.0,60.0,66.61,53.7,988.0,1019.0,1186.18
2021-07-02-14.30.00.000000,10242,0.0,0.0,0.0,60.3,66.98,53.9,989.4,1021.6,1187.84
2021-07-02-14.35.00.000000,10243,0.0,0.0,0.0,60.5,67.13,53.9,991.1,1024.4,1189.36
2021-07-02-14.40.00.000000,10244,0.0,0.0,0.0,60.5,67.13,53.9,991.5,1026.1,1189.58
2021-07-02-14.45.00.000000,10245,0.0,0.0,0.0,60.5,67.13,53.9,991.4,1026.8,1190.03
2021-07-02-14.50.00.000000,10246,0.0,0.0,0.0,60.5,67.13,53.9,991.2,1025.5,1188.39
2021-07-02-14.55.00.000000,10247,0.0,0.0,0.0,60.5,67.13,53.9,992.9,1026.8,1186.48
2021-07-02-15.00.00.000000,10248,0.0,0.0,0.0,60.5,67.13,53.9,994.1,1027.2,1186.53
2021-07-02-15.05.00.000000,10249,0.0,0.0,0.0,60.5,67.13,53.9,994.4,1027.6,1186.69
2021-07-02-15.10.00.000000,10250,0.0,0.0,0.0,60.5,67.13,53.9,992.8,1025.0,1189.79
2021-07-02-15.15.00.000000,10251,0.0,0.0,0.0,60.5,67.13,53.9,991.7,1023.5,1189.5
2021-07-02-15.20.00.000000,10252,0.0,0.0,0.0,60.5,67.13,54.1,991.1,1024.3,1190.17
2021-07-02-15.25.00.000000,10253,0.0,0.0,0.0,60.5,67.13,54.2,990.2,1025.1,1189.4
2021-07-02-15.30.00.000000,10254,0.0,0.0,0.0,60.5,67.13,54.2,987.2,1023.1,1190.34
2021-07-02-15.35.00.000000,10255,0.0,0.0,0.0,60.5,67.13,54.2,983.2,1019.0,1190.95
2021-07-02-15.40.00.000000,10256,0.0,0.0,0.0,60.5,67.13,54.4,977.8,1013.9,1191.65
2021-07-02-15.45.00.000000,10257,0.0,0.0,0.0,60.5,67.13,54.6,973.5,1009.7,1191.47
2021-07-02-15.50.00.000000,10258,0.0,0.0,0.0,60.5,67.13,54.6,969.5,1006.1,1191.14
2021-07-02-15.55.00.000000,10259,0.0,0.0,0.0,60.5,67.13,54.3,964.7,1002.4,1190.56
2021-07-02-16.00.00.000000,10260,0.0,0.0,0.0,60.5,67.18,54.1,958.9,998.7,1190.23
2021-07-02-16.05.00.000000,10261,0.0,0.0,0.0,60.7,67.42,54.2,953.3,995.3,1190.07
2021-07-02-16.10.00.000000,10262,0.0,0.0,0.0,60.9,67.62,54.3,946.0,989.5,1190.07
2021-07-02-16.15.00.000000,10263,0.0,0.0,0.0,61.0,67.74,54.3,937.4,982.2,1189.59
2021-07-02-16.20.00.000000,10264,0.0,0.0,0.0,60.9,67.58,54.0,927.6,974.0,1189.96
2021-07-02-16.25.00.000000,10265,0.0,0.0,0.0,60.7,67.38,53.9,916.9,964.3,1190.2
2021-07-02-16.30.00.000000,10266,0.0,0.0,0.0,60.6,67.21,54.0,904.9,952.3,1190.94
2021-07-02-16.35.00.000000,10267,0.0,0.0,0.0,60.5,67.13,54.2,890.4,937.1,1189.79
